Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,2015,Land area (sq. km),AG.LND.TOTL.K2,61893
Sri Lanka,LKA,2014,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2013,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2012,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2011,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2010,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2009,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2008,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2007,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2006,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2005,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2004,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2003,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2002,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2001,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,2000,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1999,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1998,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1997,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1996,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1995,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1994,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1993,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1992,Land area (sq. km),AG.LND.TOTL.K2,62710
Sri Lanka,LKA,1991,Land area (sq. km),AG.LND.TOTL.K2,62710
